2026-03-18 16:09:46 | WARNING  | DronePortMain | Invalid packet from ('127.0.0.1', 65370), ignored
2026-03-18 16:09:46 | WARNING  | DronePortMain | Packet validation failed: id=1000, num=1, len=14
2026-03-18 16:09:46 | WARNING  | DronePortMain | Invalid packet from ('127.0.0.1', 65371), ignored
2026-03-18 16:09:46 | WARNING  | DronePortMain | Packet validation failed: id=1000, num=1, len=14
2026-03-18 16:09:46 | WARNING  | DronePortMain | Invalid packet from ('127.0.0.1', 65372), ignored
2026-03-18 16:09:46 | WARNING  | DronePortMain | Packet validation failed: id=1000, num=1, len=14
2026-03-18 16:09:46 | WARNING  | DronePortMain | Invalid packet from ('127.0.0.1', 65373), ignored
2026-03-18 16:09:46 | WARNING  | DronePortMain | Packet validation failed: id=1000, num=1, len=14
2026-03-18 16:09:46 | WARNING  | DronePortMain | Invalid packet from ('127.0.0.1', 65374), ignored
2026-03-18 16:09:46 | WARNING  | DronePortMain | Packet validation failed: id=1000, num=1, len=7
2026-03-18 16:09:46 | WARNING  | DronePortMain | Invalid packet from ('127.0.0.1', 65375), ignored
2026-03-18 16:09:46 | WARNING  | DronePortMain | Packet validation failed: id=1000, num=1, len=4
2026-03-18 16:09:46 | WARNING  | DronePortMain | Invalid packet from ('127.0.0.1', 65376), ignored
2026-03-18 16:09:46 | WARNING  | DronePortMain | Packet validation failed: id=1000, num=1, len=4
2026-03-18 16:09:46 | WARNING  | DronePortMain | Invalid packet from ('127.0.0.1', 65377), ignored
2026-03-18 16:09:46 | WARNING  | DronePortMain | Packet validation failed: id=1000, num=1, len=6
2026-03-18 16:09:46 | WARNING  | DronePortMain | Invalid packet from ('127.0.0.1', 65378), ignored
2026-03-18 16:09:46 | WARNING  | DronePortMain | Packet validation failed: id=1000, num=1, len=6
2026-03-18 16:09:46 | WARNING  | DronePortMain | Invalid packet from ('127.0.0.1', 65379), ignored
2026-03-18 16:09:46 | WARNING  | DronePortMain | Packet validation failed: id=1000, num=1, len=6
2026-03-18 16:09:46 | WARNING  | DronePortMain | Invalid packet from ('127.0.0.1', 65380), ignored
2026-03-18 16:09:46 | WARNING  | DronePortMain | Packet validation failed: id=1000, num=1, len=14
2026-03-18 16:09:46 | WARNING  | DronePortMain | Invalid packet from ('127.0.0.1', 65381), ignored
2026-03-18 16:09:46 | WARNING  | DronePortMain | Packet validation failed: id=1000, num=1, len=6
2026-03-18 16:09:46 | WARNING  | DronePortMain | Invalid packet from ('127.0.0.1', 65382), ignored
2026-03-18 16:09:46 | WARNING  | DronePortMain | Packet validation failed: id=1000, num=1, len=2
2026-03-18 16:09:46 | WARNING  | DronePortMain | Invalid packet from ('127.0.0.1', 65383), ignored
2026-03-18 16:09:46 | WARNING  | DronePortMain | Packet validation failed: id=1000, num=1, len=6
2026-03-18 16:09:46 | WARNING  | DronePortMain | Invalid packet from ('127.0.0.1', 65384), ignored
2026-03-18 16:09:47 | WARNING  | DronePortMain | Packet validation failed: id=1000, num=1, len=2
2026-03-18 16:09:47 | WARNING  | DronePortMain | Invalid packet from ('127.0.0.1', 65385), ignored
2026-03-18 16:09:47 | WARNING  | DronePortMain | Packet validation failed: id=1000, num=1, len=4
2026-03-18 16:09:47 | WARNING  | DronePortMain | Invalid packet from ('127.0.0.1', 65386), ignored
2026-03-18 16:09:47 | WARNING  | DronePortMain | Packet validation failed: id=1000, num=1, len=2
2026-03-18 16:09:47 | WARNING  | DronePortMain | Invalid packet from ('127.0.0.1', 65387), ignored
2026-03-18 16:09:47 | WARNING  | DronePortMain | Packet validation failed: id=1000, num=1, len=14
2026-03-18 16:09:47 | WARNING  | DronePortMain | Invalid packet from ('127.0.0.1', 65388), ignored
2026-03-18 16:09:47 | WARNING  | DronePortMain | Packet validation failed: id=1000, num=1, len=14
2026-03-18 16:09:47 | WARNING  | DronePortMain | Invalid packet from ('127.0.0.1', 65389), ignored
2026-03-18 16:09:47 | WARNING  | DronePortMain | Packet validation failed: id=1000, num=1, len=13
2026-03-18 16:09:47 | WARNING  | DronePortMain | Invalid packet from ('127.0.0.1', 65390), ignored
2026-03-18 16:09:47 | WARNING  | DronePortMain | Packet validation failed: id=1000, num=1, len=6
2026-03-18 16:09:47 | WARNING  | DronePortMain | Invalid packet from ('127.0.0.1', 65391), ignored
